C罗	50	50	50	50	50	50	100	100	300	300
埃辛									50	100
布冯									50	100
德罗西							50	50	50	100
范德法特									50	100
弗兰克 兰帕德							50	50	100	200
基耶利尼							50	50	100	200
加图索									100	200
里奥内尔 梅西	50	50	50	50	50	50	50	50	500	200
马斯切拉诺									50	200
史蒂文·杰拉德	50	50	50	50	50	50	100	100	100	200
韦恩.鲁尼	50	50	50	50	50	50	100	100	200	200
伊布	50	50	50	50	50	50	100	100	200	200
约翰 特里							50	50	100	200
#巴雷西	500	500	500	500	500	500	500	500	900	900
#贝肯鲍尔						50	50	50	900	900
#博比 查尔顿							50	50	200	200
#博格坎普							50	50	900	900
#范 巴斯滕							50	50	900	900
#古利特							50	50	200	900
#克鲁伊夫									900	900
#里杰卡尔德	500	500	500	500	500	500	500	500	900	900
#罗伯特 巴乔									500	900
#马尔蒂尼									900	900
#纳西门托									900	900
#内德维德									900	900
#舒梅切尔									900	900
#尤西比奥									900	900
#佐夫									900	900
